Airoh Helmet Aviator 3 Spin Orange Fluo Matt, , , ,[],"4 645,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-230006.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-230006a.jpg, , , , 
Airoh Helmet Aviator 3 Glory Orange Matt, , , ,[],"4 645,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-230005.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-230005a.jpg, , , , 
Airoh Helmet Aviator 3 Glory Yellow Matt, , , ,[],"4 645,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-230004.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-230004a.jpg, , , , 
Airoh Helmet Aviator 3 Push Blue/Red, , , ,[],"4 645,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-230003.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-230003a.jpg, , , , 
Airoh Helmet Aviator 3 Push Blue, , , ,[],"4 645,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-230002.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-230002a.jpg, , , , 
Cardo Packtalk Edge Duo,294-1098, ,[''],"['In stock', 'Sweden', '32']","4 488,40 NOK",,828831843173,Cardo,,Helmets,"Accessories, helmets",Intercom systems,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/edge%20render%206.png,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/duo%20edge%20box.png,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/edge%20render%201.png,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/PT%20EDGE%20NEW%20RENDER%20main.png, , 
Schuberth Helmet C5 Master blue, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2213.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2213a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2213b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2213c.jpg, 
Schuberth helmet E2 Defender White/Blue, , , ,[],"6 396,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2318.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2318a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2318b.jpg, , , 
Schuberth Helmet C5 Master orange, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2212.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2212a.jpg, , , 
Schuberth Helmet C5 Master grey, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2211.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2211a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2211b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2211c.jpg, 
Schuberth helmet E2 Explorer Matt Anthracite, , , ,[],"6 396,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2316.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2316a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2316b.jpg, , , 
Schuberth Helmet C5 Master yellow, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2210.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2210a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2210b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2210c.jpg, 
Schuberth helmet E2 Explorer Matt Green, , , ,[],"6 396,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2314.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2314a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2314b.jpg, , , 
Schuberth helmet E2 Explorer Blue, , , ,[],"6 396,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2313.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2313a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2313b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2313c.jpg, , 
Schuberth Helmet C5 Eclipse Red/White, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2217.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2217a.jpg, , , 
Schuberth Helmet C5 Eclipse Yellow/White, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2216.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2216a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2216b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2216c.jpg, 
Schuberth Helmet C5 Eclipse Blue, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2215.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2215a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2215b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2215c.jpg, 
Schuberth Helmet C5 Eclipse Anthracite Red, , , ,[],"6 396,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2214.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-220.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2214a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2214b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2214c.jpg, 
Schuberth helmet E2 Defender Matt Yellow/Grey, , , ,[],"6 396,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2319.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2319a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2319b.jpg, , , 
Schuberth helmet E2 Defender Matt Red, , , ,[],"6 316,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2317.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2317a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2317b.jpg, , , 
Schuberth helmet E2 Explorer Matt Orange, , , ,[],"6 316,00 NOK",,(Integral),Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2315.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2315a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2315b.jpg, , , 
Schuberth helmet C5 Globe Blue, , , ,[],"6 076,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2300.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2300a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2300b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2300c.jpg, , 
Schuberth helmet C5 Globe Grey, , , ,[],"6 076,00 NOK",,Modular / Flip-Up,Unisex,,Helmets,Flip-Up Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//51-2301.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2301a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2301b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//51-2301c.jpg, , 
Cardo Packtalk Neo Duo,294-1102, ,"['WATERPROOF\nNo matter what you throw at it, your\nwaterproof PACKTALK NEO will take the\nbeating and keep you connected.\nRain, shine, mud, dust or snow.\n\nSound By JBL\nPowerful 40mm high-definition speakers\nengineered to perfection by JBL experts,\nwith an improved music processor and\nthree redesigned audio profiles.\n\nOVER THE AIR SOFTWARE UPDATES\nKeeping your unit up-to-date has never been\nso easy. Use your Cardo Connect App to\ndownload and install latest software directly to\nyour PACKTALK NEO. No cables needed.\n\n\nDynamic Mesh Communication (DMC) \nFeaturing our 2nd generation Dynamic Mesh\nCommunication (DMC) with unparalleled intercom\nsound quality, easy pairing, and robust performance.\nFor up to 15 riders at a range of 1.6km/1mi.\n\nOperated by Natural Voice\nOur improved Natural Voice Operation\nengine rids you from the need to ever press\na button again. Just say \x93hey Cardo\x94 and tell\nit what you want, your PACKTALK NEO\nwill do the rest.\n\nUNIVERSAL BLUETOOTH CONNECTIVITY\nPACKTALK NEO connects with any other\nBluetooth intercom system of any brand.\n\n\nGeneral\nCompatibility\nUniversal\nOperating Temperature\n-20C to 55C / -4F to 131F\nWaterproof\nFM Radio\nOperating frequencies 76-108 MHz\nRDS - Radio Data systems\n6 preset station memory\nSoftware Updates\nOver-the-air updates\nUSB cable updates\nDevice Settings\nCardo Connect App\n\nConnectivity\n2 channels for mobile phone and GPS\n2nd gen Dynamic Mesh Communication\nBluetooth 5.2\nUniversal connectivity\nTFT connectivity\n\nlntercom\n2nd gen DMC intercom\nAuto-reconnect, HD Live\nBluetooth Intercom\nUniversal Bluetooth intercom\nGroup size : up to 15 riders\nRider to rider range: up to 1.6km / 1mi\nDMC group range : up to 8km / 5.0 mi\n\nUser interface\nNatural Voice operation\nMultilingual status announcements\n\nDimensions\nSpeakers\nDiameter: 40mm\nDepth: 10mm\nMain unit\nHeight: 46mm | Length: 84mm\nDepth: 23mm | Weight: 47g\n\nAudio\nSound by JBL\n40mm JBL speakers\nJBL Audio profiles\nAutomatic Volume Control\n\nBattery\nCertificates\nTalk time\n13 hours\nCharging time\nup to 2 hours\nFast charging\n2 hours talk time after 20 min charge\nStandby time\n10 days\n\nCertificates\nCE\nTELEC\nUKCA\nFCC / IC\nSIG BT']",[''],"4 222,40 NOK",,828831843906,,,Helmets,"Accessories, helmets",Intercom systems,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/PT%20NEO%20UNIT%20Mockup%201.png,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/NeoDuoPackage.png,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/image00015-scaled.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//Cardo/PT%20NEO%20UNIT%20Mockup%206.png, , 
Airoh Helmet Aviator 3 Wave pink gloss, , ,[''],[],"4 197,20 NOK",,Offroad,,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-2105.jpg, , , , , 
HJC Helmet RPHA 1 White, , , ,[],"5 996,00 NOK",,Full Face,,,Helmets,Full Face Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//630-22007.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//630-22007a.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//630-22007b.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//630-22007c.jpg, , 
Airoh Helmet Aviator 3 Wave orange matt, , ,[''],[],"4 197,20 NOK",,Offroad,,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-2103.jpg, , , , , 
Airoh Kypärä Aviator 3 TC21, , ,[''],[],"4 197,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-2200.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-2200a.jpg, , , , 
HJC Helmet RPHA 1 Semi Flat Black, , , ,[],"5 996,00 NOK",,Full Face,Unisex,,Helmets,Full Face Helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//630-22006.jpg, , , , , 
Airoh Helmet Aviator 3 Wave silver gloss, , ,[''],[],"4 197,20 NOK",,Offroad,Unisex,,Helmets,Offroad helmets, ,https://www.duell.se/af/img/p/dl/thickbox_default//57-2102.jpg,https://www.duell.se/af/img/p/dl/thickbox_default//57-2102a.jpg, , , , 
